job_id,title,location,department,salary_range,company_profile,description,employment_type,required_experience,required_education,industry,function,fraud
10168,Senior FrontEnd Engineer,"GB, WSM, London",Engineering,50000,"Founded in 2010 by a team from Google’s London and New York offices, Qubit work with some of the biggest names in Online. Our engineers have built a brand new platform that combines a number of technologies – analytics, automation, personalisation and more – into a simple, easy-to-use product.We’re not the only ones excited about our brand new approach to solving the problems of modern e-Commerce. Wired magazine named Qubit as one of the top 5 hottest startups in London. We’ve raised $7.5 million in Series A funding from one of the UK’s biggest venture capitalists! Come and join the growing team as we embark on the most exciting chapter in Qubit’s history.Although we’ve now grown to more than 90 people, we’re keen on keeping our culture as relaxed and open as when there were only 5 of us. Our offices have table football, kitchen full of fruit and other snacks, never ending coffee supply, dinner service and lots of other startup perks. More importantly we’re a focused and determined team preparing to double in size during 2014!","Qubit: Cutting Edge Big Data EngineeringWe are looking for outstanding JavaScript Engineers to join our growing Front End team. If you know almost everything there is to know about JavaScript, then we want to hear from you.As a member of our team, you’ll be working on: our user interface that helps many organizations build their personalizations via a WYSIWYG interface, core libraries that generate and collect data, and libraries that execute tens of billions personalizations on the largest e-commerce sites in US and the UK.You’ll need efficient performance in a multitude of different contexts, and be compatible with all sorts of web technologies. With our relentless focus on innovation, our Front End team are always investing in improving the efficiency of our code and workflows while continuously shipping product features.What You’ll Be DoingBuilding elegant, highly responsive Front End components that display terabytes of data in new and creative ways.Writing safe, stable and sandboxed code that can do complex things in foreign environments and developing ways to monitor and improve its speed, quality and effectiveness.Helping us to develop, test and deploy our data gathering tools that collect 1,000,000,000+ unique data points daily from some of the biggest sites on the internet.Designing RESTful interfaces in #URL_a58bd7bd48420a1f4774598bc5f1451bdcc79baee91a357c1d69e8aede501d73# to connect to our backend services and expose data to front end applications.Providing programming and development expertise across the entire Front End product cycle.",Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
10189,Manufacturing Technician,"NZ, N, Auckland",Engineering,45000,"PowerbyProxi and its customers are leading a revolution to deliver unplugged power. We have changed the way electricity is delivered in hostile industrial environments. We are now also developing wireless charging technology for consumer electronics and have an impressive portfolio of clients consisting of electronics heavyweights from around the world. PowerbyProxi was spun out of The University of Auckland in 2007 to commercialize cutting edge research undertaken by its internationally acclaimed scientists and engineers. As a pioneer in the design and development of turnkey wireless power solutions, PowerbyProxi eliminates the need for a physical or frictional power connection. We provide our customers with unplugged solutions that solve continuity of delivery and maintenance pain points, create unique competitive advantages, deliver significant cost savings and secure product design wins.","PowerbyProxi was spun out of The University of Auckland in 2007 to commercialize cutting edge wireless power research undertaken by its internationally acclaimed scientists and engineers. We have changed the way electricity is delivered in industrial environments. We are now also developing wireless charging technology for consumer electronics and have an impressive portfolio of clients consisting of electronics heavyweights from around the world. As a pioneer in the design and development of turnkey wireless power solutions, PowerbyProxi eliminates the need for a physical or frictional power connection. We provide our customers with unplugged solutions that solve continuity of delivery and maintenance pain points, create unique competitive advantages, deliver significant cost savings and secure product design wins. We are now looking for Manufacturing Technicians to join our Production Operations team. You will be an instrumental part of our product development process. Your key functions will include assembling products, providing technical support in prototyping, testing and failure investigation during manufacturing process of our prototypes and products. Day to day functions may include :Product assembly, including mechanical, coil winding and circuit board from schematicsTest electronic customer release products and test equipmentBuild, calibrate, maintain, troubleshoot and repair products and other test equipment.Repairs and servicing of prototypes and end productsAssist with testing and failure investigationCommunicating issues back to product development, production, QA team and testers.Develop assembly, maintenance, operation manuals.",Full-time,Mid-Senior level,Vocational,Electrical/Electronic Manufacturing,Engineering,0
10193,Technical Support Associate,"US, TX, Houston ",Technical Support,25000,"AboutPPD Partners provides English and Spanish contact center outsourcing to companies that want more from their customer relationships.We position our clients for success by delivering inbound contact center services that allow them to focus on their core business while maximizing profit. We deliver the brand promise of our clients by working with them to understand and apply the knowledge, behaviors, and values at the core of their success.MISSIONTo support our Clients competitive goals and brand recognition through meaningful interactions with their customers by providing quality driven contact center solutions.","We are looking to hire motivated people to add to our team of Technical Support Associates. We provide Support services for thousands of business Nationwide.Job Summary: Troubleshoot via chat, email and phone customer problems with computer hardware and software issues as well as client specific equipment and applications by performing the following duties.Essential Duties and Responsibilities include the following. Other duties may be assigned.- Answers incoming inquiries, responds to customer questions and solves problems according to standardized procedures while maintaining a courteous manner.– Asks effective questions and gathers information to determine source of problems and customer needs.– Logs on/off customer care system and accesses account files.– Enters alpha and numeric data via computer keyboard into an automated system accurately.– Accurately captures all customer and issue related information in the proper database.– Leads customers through documented process of fixing their software, hardware, or network problems.– Uses product information, multiple client tools, client specific reference materials, scripting, advanced technical knowledge, and customer service skills and problem solving skills to diagnose and solve customer problems.– Stays current with latest technology changes.",Full-time,Entry level,High School or equivalent,Consumer Services,Other,0
10211,Investment Associate,"GB, , London",FP,65000,"Based in Hoxton, London, Forward Partners are a “startup catalyst”, combining investment with practical hands-on expertise and insight.We're investors in very early stage ecommerce companies.  Our team have the experience to enable entrepreneurs to succeed.  We do more than advise and mentor. We help the best entrepreneurs quickly find a great product-market fit with our expertise in customer discovery, coding, design, customer acquisition, testing and analysis as well as offering office space.Companies invested in include: Hailo, Zopa, Wool and the Gang, Thread, Big Health, Stylect, Makers Academy, Blik Book, DriftRock, Top10, SnapTrip, Loyalty Bay and Appear Here","About UsBased near Old Street, London, Forward Partners is an e-commerce investment studio, combining funding with practical hands-on expertise and insight.Our funding model is different to that of our competitors.  We make larger initial seed investments and work closer with the founders to ensure their success.  Our team of start-up experts have the tools, tricks and experience to enable entrepreneurs to rapidly and securely grow their companies. We go further than advice and mentoring, we roll our sleeves up and get involved. Our support spans customer development, coding, design, customer acquisition, recruitment and fundraising.Companies we’ve helped include: Hailo, Zopa, Wool and the Gang, Thread, Big Health, Stylect, Makers Academy, Lost My.Name, DriftRock, Top10, SnapTrip, Loyalty Bay and Appear Here.The deals we make are early stage and we offer a unique opportunity to solo founders.  We work with our entrepreneurs to help them shape their ideas, find product market fit quickly and rapidly gain traction.     About the roleWe’re looking for a motivated, driven person, either pre or post-MBA.  You will work directly with the small close-knit team to source and evaluate potential deals.   You’ll manage the structure and negotiation of new deals as well as helping to on-board our new founders.  You’ll be involved at all stages of the process from contracts to completion and continue to offer advice as our start-ups grow.We want you to be venturesome in discovering exciting fledgling companies.  You’ll perform due diligence such as customer and management references, market sizing and mapping, and industry research, competitive analysis and ultimately forming a viewpoint on the investment opportunity.  You’ll be an integral part of further defining the Forward Partners investment strategy.You’ll work to understand the London start-up scene.  The role will include participating in events where you’ll represent Forward Partners and continuing to build a network of collaborators and partners.",Full-time,Associate,Bachelor's Degree,Venture Capital & Private Equity,General Business,0
10222,Marketing Strategist,"IN, KA, Bangalore",Marketing,10000,"Who are we?Creators Lab (aka #URL_285fcfb70c84df2c27b61aa797720636ef0cea2550ed4369f0c431340894884e#) is a young creative Branding, Web Design and Digital Marketing Startup based in Bangalore.We are specially focused on helping startups with their branding and design needs, so they can focus on their core products. We are also building few revolutionary products. One of them is EnterBox, its Roku for India.We are not yet another web development company which wants to survive the ongoing technology tides, we are going to roll with the waves. We focus on the following key areas of business. Brand Strategy, Web Design &amp; Development, UI/UX Design, Mobile Applications, SEO and Social Media Marketing.TeamWe are not ex-Googlers, ex-Amazoners or from any other top corporate company, but we are passionate designers, developers and self-motivated startup team. But we do welcome people from corporates if they are ready to adjust to startup environment. Working in a startup comes with big responsibilities, roles and of-course fun. Goal / MissionBuilding innoavtive and beautiful products. Making web smoother &amp; beautiful using latest technologies like HTML5, CSS3 and jQuery.In our organization, we are constantly perfecting the art of better design. We need someone who is able to reflect, adapt, learn and improve with us. We love people who are passionate about what they do and about improving how they do it. If you’re motivated by continuous learning and improvement, then we can give you the tools and support that you need.Our Work CultureAt WebCreators, we have an intense, informal, and open work culture. We are a creative and innovative startup in every sense of the word and can assure a challenging yet enjoyable and high growth environment for the right candidates. If you do not like processes, hate pyramid type organizations, love creativity, innovation and fun at work; you will love it here. You will find flexible and challenging work environment, which treats people humanly. You will be challenged at the levels of responsibilities of your role.  We believe in these quotes :I have no special talents. I am only passionately curious. -- Albert EinsteinThe best way to predict the future is to invent it. -- Alan KayPassion is energy. Feel the power that comes from focusing on what excites you. -- Oprah WinfreyDesign is not just what it looks like and feels like. Design is how it works. -- Steve JobsHire for Attitude and Train for Skill.Business has only two functions - Innovation and Marketing.Must Read article before applying: 7 Things CEOs Look for in Star Employees - http://s.#URL_2eff2e1d1611e33eba71c6b6eeaf8fcb55fccc5ef90a1f0beb787512e17c8f92#","Who are we looking for: Digital Marketing ExecutiveWe are looking for highly talented, self-motivated and creative online marketing genius to help us grow our customer base. Who can create and lead creative Digital Marketing Campaigns at Creators Lab. You must have excellent communication skills.General PurposeResearching, Ideating and Driving Online Marketing campaigns to increase our customer base.  Will be focusing on engaging viewers/users on the Internet by driving traffic to our client's websites and our own business. Partnering with other Businesses to benefit mutually. Also you'll be managing SEO and Social Media Marketing.        Main Job Tasks and ResponsibilitiesLead generation through SEO &amp; Social Media Marketing for us and clients Improving website location in Google and Bing search resultsResponsible for Website Content Management/ Promotions, Organic Rankings, Analytics &amp; Online Customer Acquisitions Strategies/ Online SalesConducting research &amp; execute on digital strategies like SEO, SMO, AdWords, Display Network, PR and Social Media campaigns for high-end clientsProvide SEO analysis and recommendations in coordination with elements and structure of websites and web pagesPerform keyword research in coordination with client business objectives to optimize existing content and uncover new opportunitiesProvide insight on results, traffic &amp; conversions based on analytics toolsRecommend SEO/Ad opportunities &amp; steer strategy based on analytics data and keyword researchDevelop and implement online marketing strategies with focus on high growth in revenue and ROI in marketing costs. Make recommendations for content changes to new and existing websitesEngage in effective link building, Affiliate campaigns and Marketing PartnershipsDrive the web team to continually adapt to changes in algorithms, technology and marketing techniquesCreate and managing campaigns, coordinates with Team, and generating reportsHelp to create and support marketing content to socialise and use for social media purposes (e.g. customer videos briefs, customer case studies, blog posts, posts from analysts and customers)Activities:Keyword Research: Experience with tools like Word Tracker, Keyword Discovery, Google Adwords Keyword ToolWebmaster tools: Google Webmaster Central/ Analytics, Yahoo and Bing Webmaster CenterClient Interaction: Maintaining client interactions for Client projects on Internet marketing.Implement and execute the marketing plans for various online marketing programs including client engagements and interactions.Report Generation: Various reports/ MIS generation for clients and for internal use.",Full-time,Not Applicable,Bachelor's Degree,Information Technology and Services,Marketing,0
10289,Digital Marketing Lead - Kahoots,"US, IL, Chicago",WyR,50000,"The story of the Great Chicago Fire of 1871 isn’t really about the fire. It’s about what happened next: A remarkable moment when the most brilliant engineers, architects and inventors came together to build a new city. Their innovations – born of passion and practical ingenuity – shaped not just Chicago, but the modern world. What started 140 years ago continues to this day.Chicago’s brightest digital designers, engineers and entrepreneurs are shaping new technologies, disrupting old business models, and resetting the boundaries of what’s possible. If that sounds like you, join us.Come to a place where you can share ideas, make mistakes, work hard, build your business and, with a little luck, change the world.Welcome to 1871.From photo-editing apps to interactive healthcare programs, 1871 has a member company that fits your interests and expertise! Whether you’re a designer, a marketing expert, or software developer, we have a startup looking for you. Each company is looking for a way to innovate their industry and is looking to do so in creative and original ways. We are looking to match you with one of our amazing member companies based on the information you provide to us and their current needs. If you believe that you have the skills and vision to help digital startups get their start, 1871 is the right place for you!","DIGITAL MARKTING LEADDo you believe that inbound marketing drives the best leads? Do you love creating content and providing prospects and customers with information and tools they value? Are you constantly thinking of highly compelling, multi-media content that expresses thought leadership, instills credibility, increases SEO and captures the attention of millions? Do you dream of creating a piece of content that goes viral overnight?GENERAL SUMMARYKahoots is an 1871 company that’s reinventing your phones’ address book – organizing contacts by need as well as name and sharing recommendations of great local businesses with friends. Kahoots is looking to fill a need for us creating and managing our inbound marketing program and bringing the buzz to Kahoots! We’re not looking for an intern to make coffee. We make our own. What we are looking for is a leader to help us roll out our product here in Chicago. We are looking for a high achieving self-starter who embodies excellent business judgment, leadership and technical savviness.Apply now to join and grow with a dynamic startup team that is funded and partnered with industry leading companies here in Chicago. This person will report to the VP of Sales.We are considering candidates at varying levels, so if you believe you have what it takes, please apply!#URL_f9a76b81c870b1c023e71c5a9231d44d811992e00f9afbcdbaec7126da95427f#",Full-time,Director,Bachelor's Degree,Consumer Services,Marketing,0
10303,Template (DO NOT DELETE),"TH, 10, Bangkok",Unknown,100000,Smart Search delivers executive search solutions tailored for global organizations committed to the Greater Thailand market. We commit to securing the “best-fit” executive talent to lead and manoeuvre global businesses in the constantly changing dynamics of South East Asia. ,"Our client is a global advertising and marketing communications services company with over 410 offices in over 120 countries. With a diverse group of marketing services companies, our client offers its clients a 360 Degree service offering to market and enhance their sales with world renowned creative strategies. Recently our client has opened their Merchandising and Sales services group in the Thailand market and are looking for an experienced operations minded person to join their growing company",Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
10325,Desktop Support Technician,"US, TX, College Station",IT Services,30000,"At McLane Intel, we believe that everyone should love where they work! We understand that our ongoing success is attributed to our remarkable staff. We are a company that promotes career growth, ongoing learning, and professional development for all of our employees.We have a wide range of positions throughout the company and accept and support a broad array of applicants—from recent graduates to seasoned professionals. If you are willing to follow our company values, enjoy learning new skills, and plan to succeed in your career—we want you to apply.Here are a few things we offer that others often don’t:Autonomy – We offer a management team that treats their employees with respect and values their input, along with a team of skilled technicians that put their teammates above themselves.Mastery &amp; Growth – We promote from within and work each one of our technicians to help them get certifications and rise in the tiers experience.Purpose – We have a mission and a culture that every employee is strongly invested in working towards because we hand-picked people that love what they do. It’s the difference between people in a row boat rowing as they see fit, and people rowing the same direction.Benefits – Our benefits are some of the best around. We have awesome health insurance and a great PTO policy. We have an Awesome Teammate Bonus, where employees nominate other employees weekly. Each full-time employee has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.A bit more about what we do:McLane Intelligent Solutions (MIS) is fast-growing and dynamic managed services provider located in Bell county in Central Texas. We provide a broad range of outsourced IT including design, installation, support, maintenance and consulting services to the SMB market. We have a rising need for smart, talented, hard-working, and capable team members who love challenges, want to know they are making a difference every day, and want to join a fast-paced, demanding and fun team of professionals.","At McLane Intelligent Solutions, we attribute our success to our remarkable staff.  We promote career growth, ongoing learning and professional development for all of our employees.  We also offer a level of dedication to our employees that is second-to-none. Ask yourself this:Are you passionate about working with computers?  Do you enjoy helping your family and friends with their technical problems?  Do you love learning and want to expand your IT skills?  Do you have experience with networks, workstations and servers? Then look no further, we want you on our team!  This is your opportunity to work with other people who are passionate about technology in an atmosphere that promotes challenge and teamwork, yet honors your life outside of work.What Do We Do?McLane Intelligent Solutions is a fast-growing managed services provider (MSP) located in Central Texas. We provide a broad range of outsourced IT services including design, installation, support, maintenance and consulting to the Small/Medium Business market. Why do you want to join us?Benefits - We have great health insurance and paid time off. We provide a weekly Awesome Teammate Bonus, where employees nominate other employees for exceptional work. Each full-time employee also has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.Growth - We work with each technician to help them become certified and advance in their knowledge of the field. We also promote from within because we believe in building our employees to be our future leaders.Extraordinary People and Culture - We pride ourselves on having great communication within our company. Each employee meets with their supervisor regularly to discuss their individual development and we have a company-wide weekly meeting to go over our company’s progress.Values – Our company has five values that drive how we do business: Integrity, Service above Self, Work with Rigor at Work, Authentic Conversation, and Enjoy and be a Joy.Due to growth, we have the following positions on our available in College Station/Bryan, TX:Computer Repair Technician - Entry Level to Experience ($30K-$40K DOE)",Full-time,Associate,Associate Degree,Information Technology and Services,Information Technology,0
10328,Entry Level Sales and Marketing Rep - Northwest/West Chicagoland Area,"US, IL, Glendale heights",Sales,50000,"Advocate Construction is an up and coming leader in the disaster recovery industry, In early 2012, Advocate was founded by two individuals that decided that they wanted something better in life, today their idea, hard work and dedication has grown Advocate Construction into a team of over 25 sales professionals and 3 branches offices in 3 different states with more offices opening soon. Advocate believes in growth of its entire workforce and offers an outstanding management training program. Our Sales managers will provide the invaluable tools needed for you to be successful for many years to come. So if you have what it takes to be part of something great then we encourage you to apply today! The Advocate difference! We believe that hard work and dedication deserves to be rewarded, we provide the opportunity for every single team member to be successful by homing in on a working process and delivering a top notch product plus exceeding our commitment to service. This posture has taken us to the next level of sales and revenue.","Are you looking for an exciting new position and an opportunity to change your life for the better?About us:Advocate Construction is currently expanding our territory in the Chicago Area, due to this exciting growth we are now looking to offer an outstanding opportunity for the right person that is not intimidated by hard work and has what it takes to become part of a company that has increased sales year after year.As a Corporate Representative you will help Advocate Construction in our mission to help homeowners obtain much needed repairs to their homes after they have experienced damage due to a severe storm at little or no cost.Advocate Construction offers our team members the opportunity to enter our Management Trainee Program (MTP) which offers an outstanding focus on sales and business management education; this invaluable training will enable you to acquire an impressive skill set which will lead you into senior management and earn a sustainable income for many years to come.If you are seeking a long term career with unlimited potential and are interested in becoming a Corporate Representative, we invite you to contact us via email with your resume and introduction as to why you are the right person for this outstanding opportunity.",Full-time,,High School or equivalent,Construction,Sales,0
10449,Senior Account Manager,"NZ, N, Auckland",Client Service,50000,"Young &amp; Shand is a full service digital agency that loves a challenge.We’ve made a name for ourselves by creating engaging digital content and leveraging new marketing technology to help NZ businesses grow. We consistently get results with a performance based approach and by ensuring the content we create gets people talking. This has helped us become the country’s fastest growing independent digital agency.How we workOur Auckland office has a full production team, Creative Director, three creative teams, six digital designers and a full development team. As a client, you’ll also have a senior Account Director and an experienced Account Manager working with you day to day and at a strategic level. To ensure everything gets done, we also have our own dedicated team offshore that allows us to work 24 hours a day.Perhaps more important than our production capability is our strategic and creative thinking. Without great thinking you’re only going to get average results. And average is not good enough - we’re only interested in doing world class work that drives results for our clients. That’s why we’ve invested in Ben becoming a New Yorker for 12 months. He’s there to understand what’s happening at the cutting edge of marketing technology so we’re up there with the best.Our environmentLast but not least, we’re a young ambitious company that’s not afraid of hard work. We have a young team that's smart and eager to learn and test the limits of what's possible. We have a real collaborative approach and work together to achieve great results. ","We are looking for a new Account Manager as a result of recent client wins. We are ideally looking for someone who has worked in a digital agency or web development environment. The right candidate needs to be comfortable managing their own client accounts (with Account Director support) across a number of industry sectors.The right person will have worked in an agency for three to six years and will have a number of successful client case studies to refer to. In addition the successful candidate will have a passion for digital and demonstrable skills in one or two areas, this could be, social, email, media (SEM or SEO) or managing web development. The role will manage 5-6 key clients and will involve developing client briefs, working with designers and developers to manage projects. A key part of the role will be taking a leadership role for development of website clients. It will also involve managing the social presence for great kiwi brands as well as monitoring media spends and ultimately driving more likes, engagement, traffic, sales and ROI. This is a rewarding role that has a real hands on aspect to it.We're passionate about the clients that we work with and you will have a portfolio of clients that you love. As a business we're focused on developing and introducing new technology to improve marketing and helps us deliver results for our clients.",Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Advertising,0
10456,ESL English Teachers,"SA, , ",Training,71000,Leadership talent acquisition. Specializing in teaching and training positions for the Kingdom of Saudi Arabia.- Engineering/Electrical Education- Power Plant Maintenance Education - ESL English Education,Have you ever wanted to experience living and working in Saudi Arabia? It is a great opportunity to grow personally and professionally while gaining valuable teaching and international business skills. It can be one of the most exciting and rewarding times of your life!   Our client is a top tier Hydro/Utility organization with multiple locations in the Kingdom of Saudi Arabia. We are seeking qualified Male ESL teachers to provide instruction to adult students.  (Male teachers due to local cultural requirements and training facility's demographics) ,Contract,Not Applicable,Bachelor's Degree,Education Management,Training,0
10482,Marketing Associate,"US, CA, Santa Monica",Marketing,30000,"We’re always looking for highly motivated “founder-types” to join us as we grow. Here’s what you need to know.Our Core Values:Every member of our team brings something unique to the table, but we share the same values:Use your intelligence without arroganceTake initiative, and execute tenaciouslyPut the team’s needs above your ownRespect customers, partners, investors, and co-workersFocus on results, but never compromise on qualityLive to learn, and share what you discoverBe honest, be transparent, and be goodNever, ever give up!Things to Consider:1. We are hiring for entrepreneurial positions, at an entrepreneurial company. This means you’ll need to be resourceful and creative, while also following the processes that will allow us to scale quickly.2. We hire for culture and greatness. We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.3. This is a massive opportunity for the right person. Startup life can be a rollercoaster, but we are led by a team of experienced entrepreneurs who have built and sold multiple companies. The opportunity for upward mobility at The Mobile Majority is tremendous, but only if you’re willing to put forth the effort.Culture and Benefits:It’s no secret that we work hard, but we also strive to create an office environment where the lines between work and play are blurred. This means we offer great perks, to help keep our team healthy, productive, and happy:Full medical, dental, and chiropractic coverage – even acupuncture.Daily company lunches catered in – plus snacks and drinks for days!Frequent team bonding events and company outings (including the occasional beach day!)Unlimited paid vacation time – because we trust you to hold yourself accountable.Gym membership with access to facilities all over LA.Flexible work hours – we know 9am isn’t for everyone.Stock options – if you’ve been with us for a year or more, we want you to experience the pride and rewards of ownership.A referral bonus program.Last, but definitely not least – dogs in the office! Bring your own furry friend, or feel free to cuddle with one of the The Mobile Majority pups.","The Mobile Majority has invented an entirely new mobile advertising platform that leapfrogs outdated legacy technologies originally intended to traffic image-based ads on desktop browsers.We have engineered the first integrated end-to-end technology that solves the biggest hurdles in mobile today, including creative limitations, viewability, lack of transparency and unverified targeting. This means superior quality, increased value, and unsurpassed results.We are one of the fastest growing companies in the world at over 1000% YOY, and are trusted by F100 brands like Paramount, State Farm, Hersheys, Bayer, Chase &amp; Amazon.Driven to raise mobile industry standards, we’re led by technology and media veterans from Yahoo!, AOL, Apple, Quantcast, Shazam, Datalogix.We have raised over $18M and been honored as the 'Best Creative Technology' by the American Association of Advertising Agencies and won 'Best Series A' by the Los Angeles Venture Association.As the marketing Associate, you will:Develop content for our company in the form of blog posts, researched white papers, interactive content, video and other formatsExecute our content development and outreachWork with Head of Marketing on all marketing communication and strategy. You must be highly organized, intelligent, and able to finish work on very tight timelines. Creative problem solving is required.Work with Creative Director to make sure all marketing materials are 'on brand'Work with PR director on all press and eventsLead all investor relations activitiesWork with the Sales team to ensure all marketing goals, campaigns and strategies are perfectly aligned with the Sales StrategyLeverage network of connections to promote company, develop and maintain long-term relationships with industry thought-leaders, trade associations and advisorsExecute latest marketing and project management technologies",Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0
10486,Full Stack Developer - Augmented Reality SaaS,"US, NY, New York",Engineering,80000,"As augmented reality jobs go, one at Blippar is hard to beat. We are a rapidly expanding creative startup at the forefront of a brand new industry, so working here offers real opportunities to shape an innovative technology and the way in which people use it.Because of this, we like working with imaginative people who think outside the box, and we love people who throw the whole box away and build something completely new. Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm.Aside from being part of an exciting, driven, super-friendly team that will nurture your talents and help you grow, at Blippar you’ll find plenty more tangible benefits, including weekly free lunches, evening drinks, and Olive, the office dog.You’ll also be working intimately, from the start, with some of the world’s biggest brands - from Coca Cola and Nestle to Conde Nast, P&amp;G and Jaguar.As a young, growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative control you’ll be afforded, whether you’re part of the design, tech, commercial or marketing teams. After all, we think our people are amazing, so we want them to stick around.","We are looking for amazing full-stack developers to work on our self-serve augmented reality advertising platform, Blippbuilder.In this role you will work with our global development team on all aspects of the Blippbuilder platform. Your initial task will be to continue improving its front-end features. Supported by our US- and UK-based engineers, you will use existing engineering experience to ensure the platform continues hitting objectives.You will need to be resilient and agile; not everything is perfect, and we expect you to help across all aspects of the product’s development. With continued development of the architecture you will work on the old and new releases, ensuring integration to new APIs is always smooth and trouble-free.",Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
10496,Network Engineer Tiers I-II,"US, TX, College Station",IT Services,30000,"At McLane Intel, we believe that everyone should love where they work! We understand that our ongoing success is attributed to our remarkable staff. We are a company that promotes career growth, ongoing learning, and professional development for all of our employees.We have a wide range of positions throughout the company and accept and support a broad array of applicants—from recent graduates to seasoned professionals. If you are willing to follow our company values, enjoy learning new skills, and plan to succeed in your career—we want you to apply.Here are a few things we offer that others often don’t:Autonomy – We offer a management team that treats their employees with respect and values their input, along with a team of skilled technicians that put their teammates above themselves.Mastery &amp; Growth – We promote from within and work each one of our technicians to help them get certifications and rise in the tiers experience.Purpose – We have a mission and a culture that every employee is strongly invested in working towards because we hand-picked people that love what they do. It’s the difference between people in a row boat rowing as they see fit, and people rowing the same direction.Benefits – Our benefits are some of the best around. We have awesome health insurance and a great PTO policy. We have an Awesome Teammate Bonus, where employees nominate other employees weekly. Each full-time employee has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.A bit more about what we do:McLane Intelligent Solutions (MIS) is fast-growing and dynamic managed services provider located in Bell county in Central Texas. We provide a broad range of outsourced IT including design, installation, support, maintenance and consulting services to the SMB market. We have a rising need for smart, talented, hard-working, and capable team members who love challenges, want to know they are making a difference every day, and want to join a fast-paced, demanding and fun team of professionals.","At McLane Intelligent Solutions, we attribute our success to our remarkable staff.  We promote career growth, ongoing learning and professional development for all of our employees.  We also offer a level of dedication to our employees that is second-to-none. Ask yourself this:Are you passionate about working with computers?  Do you enjoy helping your family and friends with their technical problems?  Do you love learning and want to expand your IT skills?  Do you have experience with networks, workstations and servers? Then look no further, we want you on our team!  This is your opportunity to work with other people who are passionate about technology in an atmosphere that promotes challenge and teamwork, yet honors your life outside of work.What Do We Do?McLane Intelligent Solutions is a fast-growing managed services provider (MSP) located in Central Texas. We provide a broad range of outsourced IT services including design, installation, support, maintenance and consulting to the Small/Medium Business market. Why do you want to join us?Benefits - We have great health insurance and paid time off. We provide a weekly Awesome Teammate Bonus, where employees nominate other employees for exceptional work. Each full-time employee also has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.Growth - We work with each technician to help them become certified and advance in their knowledge of the field. We also promote from within because we believe in building our employees to be our future leaders.Extraordinary People and Culture - We pride ourselves on having great communication within our company. Each employee meets with their supervisor regularly to discuss their individual development and we have a company-wide weekly meeting to go over our company’s progress.Values – Our company has five values that drive how we do business: Integrity, Service above Self, Work with Rigor at Work, Authentic Conversation, and Enjoy and be a Joy.Due to growth, we have the following positions on our Professional Services Engineering Team in College Station/Bryan, TX:Network Engineer Tier I-II - Entry Level to ExperiencedOur Network Engineers work as a team to design and implement solutions to complex business problems for our clients.  We are looking for the following skills:",Full-time,Associate,Associate Degree,Information Technology and Services,Information Technology,0
10506,"Technical Director (Ruby, PHP, JS)","US, NY, New York City",Engineering,100,"AREA 17 is an interactive agency. We take an interdisciplinary approach — blending the practices of design, technology and branding — to create modern interactive systems.We care about the web and its future. It has become a large part of our lives – entering our offices, living rooms and even our pockets. It is changing the way our world operates. We believe the web should be an extension of our daily lives, not a distraction from it. To this end, our mission is to make the web a better place — for work and for life — by delivering solutions that are equally valuable, sustainable and enriching.AREA 17 is located in New York City and Paris, France. We are independently owned and creatively motivated. Learn more","We seek a hands-on Technical Director with the experience and the skills needed to successfully take web application projects from inception to completion. The candidate must have experience leading, creating and launching large-scale user-centered websites and applications. The ideal candidate is passionate about the web and is a respected contributor to the web development and/or open-source community. Reports to — Director of TechnologyLocation — Williamsburg, BrooklynPayment — Based on experience (Please include your requirements)Status — Full-time with benefitsPrimary Responsibilities:Engineering Team LeadershipPlan and Lead the Web Development Process Technical Recommendations and Systems ArchitectureWeb Application Development (hands-on)Business Analysis and Requirements DefinitionResearch and Experimentation",Full-time,Director,Bachelor's Degree,Internet,Engineering,0
